file	tota_name	tota_number	date_signed	chapter_id	chapter_name	region	composition	crossregional	wto	language	p1	p2	docid	year	decade	new_name3_matt	AE_loose	AE_strict	new_issue	doc_chapter_id
xml_files/pta_99.xml	Turkey - Israel	99	1996-03-14	1143	Preamble	Middle East; Europe	Bilateral	Yes	Yes	en	ISR	TUR	pta_99	1996	199	Preamble			0.0	pta_99_1143
xml_files/pta_99.xml	Turkey - Israel	99	1996-03-14	1144	Industrial Products	Middle East; Europe	Bilateral	Yes	Yes	en	ISR	TUR	pta_99	1996	199	Industry			0.0	pta_99_1144
xml_files/pta_99.xml	Turkey - Israel	99	1996-03-14	1145	Agricultural, Processed Agricultural And Fishery Products	Middle East; Europe	Bilateral	Yes	Yes	en	ISR	TUR	pta_99	1996	199	Agriculture			0.0	pta_99_1145
xml_files/pta_99.xml	Turkey - Israel	99	1996-03-14	1146	Common Provisions	Middle East; Europe	Bilateral	Yes	Yes	en	ISR	TUR	pta_99	1996	199	General Provisions			0.0	pta_99_1146
xml_files/pta_99.xml	Turkey - Israel	99	1996-03-14	1147	Right Of Establishment And Supply Of Services	Middle East; Europe	Bilateral	Yes	Yes	en	ISR	TUR	pta_99	1996	199	Trade In Services	Services		1.0	pta_99_1147
xml_files/pta_99.xml	Turkey - Israel	99	1996-03-14	1148	General, Institutional And Final Provisions	Middle East; Europe	Bilateral	Yes	Yes	en	ISR	TUR	pta_99	1996	199	General Provisions			0.0	pta_99_1148
xml_files/pta_99.xml	Turkey - Israel	99	1996-03-14	1149	Conclusion	Middle East; Europe	Bilateral	Yes	Yes	en	ISR	TUR	pta_99	1996	199	Conclusions			0.0	pta_99_1149
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1127	Preamble	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Preamble			0.0	pta_98_1127
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1128	Political Dialogue	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Social Matters			1.0	pta_98_1128
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1129	Industrial Products	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Industry			0.0	pta_98_1129
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1130	Agricultural And Fishery Products	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Agriculture			0.0	pta_98_1130
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1131	Common Provisions	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	General Provisions			0.0	pta_98_1131
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1132	Right Of Establishment And Services	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Trade In Services	Services		1.0	pta_98_1132
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1133	Current Payments And Movement Of Capital	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Payments And Movement Of Capital			1.0	pta_98_1133
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1134	Competition And Other Economic Provisions	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Competition-Related Matters			1.0	pta_98_1134
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1135	Economic Cooperation	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Economic Co-operation			0.0	pta_98_1135
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1136	Workers	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Labour	Labor		1.0	pta_98_1136
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1137	Dialogue In Social Matters	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Social Matters			1.0	pta_98_1137
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1138	Cooperation In The Social Field	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Social Matters			1.0	pta_98_1138
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1139	Cooperation On Cultural Matters	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Cultural Matters			1.0	pta_98_1139
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1140	Financial Cooperation	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Financial Co-operation			0.0	pta_98_1140
xml_files/pta_98.xml	EU - Tunisia	98	1995-07-07	1141	Institutional, General And Final Provisions	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes	en	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		pta_98	1995	199	Institutions			0.0	pta_98_1141
